speaker;tt_x;tt_y;td_x;td_y;tb_x;tb_y;li_x;li_y ;ul_x;ul_y;ll_x;ll_y;la;pro;ttcl;tbcl;v_x;v_y;category
fsew0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;A
msak0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;A
maps0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;B
faet0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;C
mjjn0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;B
ffes0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;A
falh0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;D
MNGU0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;E
F1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
F5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
F01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
F02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
F03;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
F04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M03;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
M04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;F
